malédiction,curse,-,-,f,,
mallette,briefcase,-,-,f,,
manche,sleeve,-,-,f,,
manche,handle(eg:broom),-,-,m,,
manière,manner/way,-,-,f,,
marché,market,-,-,m,,
marge,"margin,profit-margin",-,-,f,,
marque,brand,-,-,f,,
marteau,hammer,marteaux,hammers,m,,
matelas,mattress,matelas,mattresses,m,,
matelot,sailor,-,-,m,,
médecin,doctor,-,-,m,,
médicament,medicine,-,-,m,,
menton,chin,-,-,m,,
message,message,-,-,m,*,
mesure,measurement,-,-,f,,
métal,metal,-,-,m,p,
meuble,piece-of-furniture,-,-,m,,
miel,honey,-,-,m,p,
miroir,mirror,-,-,m,,
moineau,sparrow,moineaux,sparrows,m,,
mois,month,-,-,m,*,
moitié,half,-,-,f,,
moment,moment,-,-,m,,
monde,world,-,-,m,,
montagne,mountain,-,-,f,,
montant,amount(monetary),-,-,m,,
montre,wristwatch,-,-,f,,
moquette,carpet,-,-,f,p,
mort,death,-,-,f,,
mot,word,-,-,m,*,
moyen,"way/method,medium",-,-,m,,
moyenne,average(maths),-,-,f,,
musique,music,-,-,f,p,
neige,snow,-,-,f,p*,
nez,nose,nez,noses,m,,
niveau,level,niveaux,levels,m,*,
noisette,hazelnut,-,-,f,,
noix,"nut,walnut",noix,"nuts,walnuts",f,,
nombril,bellybutton,-,-,m,,
numéro,number(nº),-,-,m,,
objet,object,-,-,m,,
occasion,"occasion,oppurtunity",-,-,f,,
océan,ocean,-,-,m,,
odeur ,smell,-,-,f,p,
oeil,eye,yeux,eyes,m,,
oiseau,bird,oiseaux,birds,m,,
orage,storm,-,-,m,,
orange,orange(fruit),-,-,f,,
ordinateur,computer,-,-,m,,
ordure,garbage,-,-,f,p,
oreille,ear,-,-,f,,
oreiller,pillow,-,-,m,,
orteil,toe,-,-,m,,
page,page,-,-,f,*,
paillasson,doormat,-,-,m,,
paillette,glitter,-,-,f,p,
pain,bread,-,-,m,p,
palier,landing(on stairs),-,-,m,,
papier,paper,-,-,m,p,
paquet,packet,-,-,m,,
parent,parent,-,-,m,,
part,"part,portion",-,-,f, ,
patinage,skating,-,-,m,p,
pays,country,pays,countries,m,*,
pêche,peach,-,-,f,*,
pelle,"shovel,spade",-,-,f,,
perroquet ,parrot,-,-,m,,
perruque,wig,-,-,f,,
personne,person,-,-,f,,
perte,loss,-,-,f,,
photo,photo,-,-,f,*,
phrase,phrase,-,-,f,,
piano,piano,-,-,m,,
pièce,"piece,theatre-play,coin",-,-,f,,
pied,foot,-,-,m,,
pince,pliers,-,-,f,*,
piscine,swimming pool,-,-,f,,
piste,"track,trail",-,-,f,,
placard,"cupboard,cabinet",-,-,m,,
plage,beach,-,-,f,,
plainte ,complaint,-,-,f,,
plaisir,pleasure,-,-,m,,
plan,street-map,-,-,m,,
plastique,plastic,-,-,m,p,
plat,dish/course,-,-,m,,
pluie,rain,-,-,f,p,
plume,feather,-,-,f,,
plupart,most-of,-,-,f,,
poignée,"handful,handle",-,-,f,,
poignet,wrist,-,-,m,,
point,point,-,-,m,,
point final,full stop,-,-,m,,
pointure,shoe-size,-,-,f,,
poire,pear,-,-,f,,
poisson,fish,-,-,m,*,
poitrine,chest/breast,-,-,f,,
poivron,pepper,-,-,m,,
pomme,apple,-,-,f,*,
pont,bridge,-,-,m,,
porte,door,-,-,f,,
poteau,pole,poteaux,poles,m,,
poulet,chicken,-,-,m,,
poussière,dust,-,-,f,p,
prestataire ,service-provider,-,-,m,,
prestation ,service-provided,-,-,f,,
problème,problem,-,-,m,,
pruneau,prune,pruneaux,prunes,m,,
quantité,quantity,-,-,f,*,
question,question,-,-,f,,
radio,radio,-,-,f,,
raisin,grape,-,-,m,,
raison,reason,-,-,f,,
réception,reception,-,-,f,,
recette,recipe,-,-,f,,
recherche,search,-,-,f,,
réfrigérateur,fridge,-,-,m,,
règle,ruler,-,-,f,,
rein,kidney,-,-,m,,
relâche,"interruption,time-out",-,-,f,,
remise,"handover,remission,reduction,postponement,shed",-,-,f,,
rendez-vous,appointment,rendez-vous,appointments,m,,
repas,meal,repas,meals,m,*,
réponse,response,-,-,f,,
restaurant,restaurant,-,-,m,,
retenue,restraint,-,-,f,,
réunion,meeting,-,-,f,*,
réveil,alarm-clock,-,-,m,,
rideau,curtain,rideaux,curtains,m,,
rivière,river,-,-,f,,
riz,rice,-,-,m,p,
robe,dress,-,-,f,,
robinet,tap,-,-,m,,
roman,novel,-,-,m,,
rue,street,-,-,f,,
sac,bag,-,-,m,,
salade,salad,-,-,f,,
salle,room,-,-,f,*,
séance,session,-,-,f,,
seau,bucket,seaux,buckets,m,,
semaine,week,-,-,f,,
sens,"meaning,way/direction",-,-,m,,
serpillière,mop,-,-,f,,
serre,"greenhouse,talon",-,-,f,,
serrure,lock,-,-,f,,
serviette,towel,-,-,f,,
seuil,leve/threshold,-,-,m,,
situation,situation,-,-,f,,
société,society,-,-,f,,
soeur,sister,-,-,f,,
soif,thirst,-,-,f,p,
soir,calendar-evening,-,-,m,,
sonde,probe,-,-,f,,
sorte,sort,-,-,f,*,
souci,worry,-,-,m,,
soupe,soup,-,-,f,p,
souris,mouse,souris,mice,f,*,
stylo,pen,-,-,m,,
sucre,sugar,-,-,m,p,
sujet,subject,-,-,m,,
supplice,torture/torment,-,-,m,,
surnom,nickname,-,-,m,,
surprise,surprise,-,-,f,*,
système,system,-,-,m,,
tabac,tobacco,-,-,m,p,
table,table,-,-,f,,
taille,size,-,-,f,,
tapis,mat,tapis,mats,m,,
tarte,tart,-,-,f,,
tasse,cup,-,-,f,*,
téléphone,telephone,-,-,m,*,
télévision,television,-,-,f,,
temps,time,temps,times,m,,
tennis,tennis,-,-,m,,
tentation ,temptation,tentations,temptations,f,,
tentative,attempt,-,-,f,,
terre,soil,-,-,f,p,
tête,head,-,-,f,,
thé,tea,-,-,m,p,
théâtre,theatre,-,-,m,,
thème,theme,-,-,m,,
tiers,"third,third-party",tiers,thirds,m,,
tire-bouchon,corkscrew,-,-,m,,
tiroir,drawer,-,-,m,*,
toilette,toilet,-,-,f,,
toit,roof,-,-,m,,
tomate,tomato,-,-,f,, 
tournevis,screwdriver,tournevis,screwdrivers,m,,
tranche,slice,-,-,f,,
travail,work/job,travaux,works/jobs,m,,
traversée ,crossing(journey),-,-,f,,
trousse ,kit/case,-,-,f,,
truc,thingymabob,-,-,m,,
tuyau,pipe,tuyaux,pipes,m,,
usine,"factory,mill",-,-,f,,
valeur,value,-,-,f,*,
valise,suitcase,-,-,f,*,
vase,mud,-,-,f,p*,
végétation,vegetation,-,-,f,,
veille,evening-before,-,-,f,,
vélo,bike,-,-,m,,
verre,drinking-glass,-,-,m,*,
verre,glass,-,-,m,p,
veste,jacket,-,-,f,,
vestiaire,locker-room,-,-,m,,
vêtement,item-of-clothing,-,-,m,,
viande,meat,-,-,f,p,
vidéo,video,-,-,f,,
vie,life,-,-,f,,
ville,town,-,-,f,,
vin,wine,-,-,m,p,
violence,violence,-,-,f,p,
violon,violin,-,-,m,,
virgule,comma,-,-,f,,
vis,screw,vis,screws,f,,
visa,visa,-,-,m,,
visage,face,-,-,m,,
visite,visit,-,-,f,,
voiture,car,-,-,f,,
volet,shutter,-,-,m,,
grain,seed,-,-,m,p,
horaire ,opening-time,-,-,m,,
